Restaurant_Name	Restaurant_URL	Cuisine_Type	Address
Rasa	/ny/new-york/386408-rasa/menu/	Sushi, Asian Fusion	25 W 8th St New York, NY, 10011
Taszo Espresso Bar	/ny/new-york/386721-taszo-espresso-bar/menu/	Coffee & Tea	5 Edward M Morgan Pl New York, NY, 10032
Cafe Boca Ciega	/ny/new-york/386921-cafe-boca-ciega/menu/	Cuban, Coffee & Tea	355 Broadway New York, NY, 10013
La Panineria - Sandwich Shop	/ny/new-york/388994-la-panineria-sandwich-shop/menu/	Italian, Sandwiches	1 W 8th St New York, NY, 10011
Da Capo Aperitivo E Caffe	/ny/new-york/389066-da-capo-aperitivo-e-caffe/menu/	Italian, Coffee & Tea	1392 Madison Ave New York, NY, 10029
Mex Carroll's Diner	/ny/new-york/382424-mex-carroll-s-diner/menu/		192 Columbia St New York, NY, 11231
Roast Kitchen	/ny/new-york/385357-roast-kitchen/menu/	Salads, Healthy	740 7th Ave New York, NY, 10019
Bluestone Lane	/ny/new-york/385884-bluestone-lane/menu/	Coffee & Tea	30 Broad St New York, NY, 10004
Tablao Tapas Y Restaurante	/ny/new-york/385910-tablao-tapas-y-restaurante/menu/	Spanish, Tapas	361 Greenwich St New York, NY, 10013
Le Cafe Coffee	/ny/new-york/385923-le-cafe-coffee/menu/	Coffee & Tea	7 E 14th St New York, NY, 10003
FC Gotham	/ny/new-york/386149-fc-gotham/menu/	American	409 W 13th St  New York, NY, 10014
Pizza Vinoteca	/ny/new-york-city/389129-pizza-vinoteca/menu/	Italian, Pizza, Alcohol	15 Union Sq W New York City, NY, 10003
Bocca di Bacco	/ny/new-york/393070-bocca-di-bacco/menu/	Italian	191 7th Ave New York, NY, 10011
Clinton Square Pizza	/ny/new-york/393214-clinton-square-pizza/menu/	Pizza	201 Clinton St New York, NY, 10002
Go Greenly Inwood	/ny/new-york/395965-go-greenly-inwood/menu/	Desserts, Teahouses	4865 Broadway New York, NY, 10034
Serengeti Teas & Spices	/ny/new-york/396021-serengeti-teas-spices/menu/	Coffee & Tea, Teahouses	2292 Frederick Douglass Blvd New York, NY, 10027
The Shake & Burger Bar	/ny/new-york/401219-the-shake-burger-bar/menu/		344 3rd Ave New York, NY, 10010
Halal Kharian Deli	/ny/new-york/403260-halal-kharian-deli/menu/	Indian	184 7th Ave New York, NY, 10011
Fish & Shrimp	/ny/new-york/436971-fish-shrimp/menu/	Seafood	2089 Amsterdam Ave New York, NY, 10032
Nick's Pizza Bar	/ny/new-york/436764-nick-s-pizza-bar/menu/	Italian, Pizza	365 3rd Ave New York, NY, 10016
So-Home	/ny/new-york/436882-so-home/menu/	Turkish, Local/Organic	410 W Broadway New York, NY, 10012
Que Rico Pollo	/ny/new-york/434514-que-rico-pollo/menu/	Puerto Rican, Latin American	46 St Nicholas Ave New York, NY, 10026
Boqueria	/ny/new-york/436742-boqueria/menu/	Spanish, Alcohol, Tapas	1460 Second Ave New York, NY, 10075
Mimi Cheng's	/ny/new-york/456915-mimi-cheng-s/menu/	Chinese, Dim Sum	179 2nd Ave New York, NY, 10003
Goggan	/ny/new-york/466669-goggan/menu/	Korean	364 W 46th St New York, NY, 10036
DumplingGo	/ny/new-york/466893-dumplinggo/menu/	Asian Fusion	121 W 3rd St New York, NY, 10012
Akami Sushi	/ny/new-york/424485-akami-sushi/menu/	Japanese, Sushi	1773 1st Ave New York, NY, 10128
Heavenly Market and Deli	/ny/new-york/424649-heavenly-market-and-deli/menu/	Deli Food, Sandwiches, Smoothies & Juices	77 3rd Ave New York, NY, 10003
Hogshead Tavern	/ny/new-york/477521-hogshead-tavern/menu/	Bar Food	126 Hamilton Pl New York, NY, 10031
Grill on the Hill	/ny/new-york/477647-grill-on-the-hill/menu/	Bar Food	1624 Amsterdam Ave New York, NY, 10031
Mysttik Masaala	/ny/new-york/476450-mysttik-masaala/menu/	Indian, Vegetarian	7 Hanover Sq New York, NY, 10004
Harp Raw Bar & Grill	/ny/new-york/476845-harp-raw-bar-grill/menu/	Seafood, Soul Food	729 3rd Ave New York, NY, 10017
Ricardo Ocean Grill	/ny/new-york/478718-ricardo-ocean-grill/menu/	Mediterranean, Seafood	2312 2nd Ave New York, NY, 10035
Beans & Vines	/ny/new-york/353860-beans-vines/menu/	Coffee & Tea, Alcohol, Tapas	4842 Broadway New York, NY, 10034
East 12th Osteria	/ny/new-york/363696-east-12th-osteria/menu/	Italian	197 1st Ave New York, NY, 10009
TAJ	/ny/new-york/251581-taj/menu/	Indian	310 E 6th St New York, NY, 10003
Zest Japanese & Thai	/ny/new-york/317979-zest-japanese-thai/menu/	Japanese, Sushi	249 Broome St New York, NY, 10002
Matryoshka	/ny/new-york/318807-matryoshka/menu/	Russian, Eastern European	88 Fulton St New York, NY, 10038
Robert's Restaurant	/ny/new-york/367897-robert-s-restaurant/menu/	American (New), Steak	536 W 28th St New York, NY, 10001
Upstairs at '21'	/ny/new-york/352520-upstairs-at-21/menu/	American	21 W 52nd St New York, NY, 10019
Pronto Pizza	/ny/new-york/7824-pronto-pizza/menu/	Italian, Pizza	1333 Broadway New York, NY, 10001
Twins Pub	/ny/new-york/248690-twins-pub/menu/	Burgers, American, Bar Food	421 9th Ave New York, NY, 10001
Lexington Candy Shop	/ny/new-york/299512-lexington-candy-shop/menu/	Diner	1226 Lexington Ave New York, NY, 10028
beQu Juice	/ny/new-york/334433-bequ-juice/menu/	Smoothies & Juices	350 E 9th St New York, NY, 10003
BXL Zoute	/ny/new-york/336333-bxl-zoute/menu/	Belgian	50 W 22nd St New York, NY, 10010
Hibernia	/ny/new-york/358356-hibernia/menu/	Irish, American, Bar Food	401 W 50th St New York, NY, 10019
Crave Sandwiches	/ny/new-york/318648-crave-sandwiches/menu/	Coffee & Tea, Sandwiches, Salads	1120 Ave of the Americas New York, NY, 10036
Pepe Rosso Social	/ny/new-york/379212-pepe-rosso-social/menu/	Italian	173 Mott St New York, NY, 10013
Five Tacos	/ny/new-york/321731-five-tacos/menu/	Mexican	119 St Marks Pl New York, NY, 10009
Tres Carnes	/ny/new-york/362995-tres-carnes/menu/	Southwestern, Mexican	688 6th Ave New York, NY, 10010
Hot Sichuan	/ny/new-york/403776-hot-sichuan/menu/	Chinese	130 9th Ave New York, NY, 10011
