Index,Dish_Name,Restaurant_Name,Similar_Dishes,Similar_Indexes,Similar_Scores
36,alaska roll,"['Ajisai Japanese Restaurant\n Ajisai Japanese Restaurant', 'Ageha Sushi']","['danish pastry', 'julekaker christmas bread', 'blueberries oz', 'lemon bars', 'just  fruits']","['/ny/new-york/355931-delimarie/menu/', '/ny/new-york/358848-nordic-delicacies-inc/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/2796-dessert-delivery/menu/', '/ny/new-york/355931-delimarie/menu/']","[10, 10, 9, 9, 9]"
37,all beef sliders,['The East Wing fka The Havana Room'],"['roasted rack of lamb', 'steak cheeseburger with bacon', 'cinnamon bun', 'cinnamon bun', 'shepherds pie', 'shepherds pie', 'prime boneless rib eye']","['/ny/new-york/363962-prime-butcher-baker/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/366185-pushcart-coffee/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/352334-rumours/menu/', '/ny/new-york/363962-prime-butcher-baker/menu/', '/ny/new-york/363962-prime-butcher-baker/menu/']","[7, 3, 3, 3, 2, 2, 2]"
38,all fruit,"[""Emack & Bolio's""]","['fresh squeezed mango juice', 'blue diamond almond breeze milk', 'veggie egg white salad', 'mango each', 'coconut yogurt parfait']","['/ny/new-york/308682-falafel-on-broadway/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/478376-cafe-clover/menu/']","[7, 6, 5, 5, 5]"
39,all greens juice,['Houston Village Farm Deli Cafe & Grocery'],"['juice', 'juice', 'juice', 'organic juice', 'salty lemon up', 'detox juice', 'detox juice', 'green juice']","['/ny/new-york/302273-imperial-pizzeria/menu/', '/ny/new-york/333616-ajisai-japanese-restaurant/menu/', '/ny/new-york/373668-at-nine/menu/', '/ny/new-york/361013-salud-soho/menu/', '/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/375922-america-s-finest-deli/menu/', '/ny/new-york/368500-bagel-boss/menu/']","[10, 10, 10, 10, 8, 7, 7, 4]"
40,all spice,['Houston Village Farm Deli Cafe & Grocery'],"['ginger brew', 'pumpkin pie', 'pumpkin pie', 'pumpkin', 'pumpkin', 'bark thins snacking chocolate  oz', 'microwaveable popcorn']","['/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/', '/ny/new-york/228156-emack-bolio-s/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/228156-emack-bolio-s/menu/', '/ny/new-york/334552-ippin/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/']","[6, 3, 3, 2, 2, 1, 1]"
41,all veggie juice,"[""America's Finest Deli""]","['large side of house salsa', 'tecate', 'bistec a la mexicana', 'chopped romaine salad', 'tossed garden salad']","['/ny/new-york/358105-no-fun-featuring-dorante-s-cocina/menu/', '/ny/new-york/378993-cafe-standard/menu/', '/ny/new-york/380213-mexican-festival-restaurant/menu/', '/ny/new-york/362949-gogo-grill/menu/', '/ny/new-york/368500-bagel-boss/menu/']","[3, 1, 1, 1, 1]"
42,alla vodka,['Benvenuto Tribeca'],"['penne with vodka sauce family special', 'pasta alla vodka', 'chicken mozzarella', 'sundried tomato cream cheese', 'baked ziti']","['/ny/new-york/302273-imperial-pizzeria/menu/', '/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/352334-rumours/menu/', '/ny/new-york/368500-bagel-boss/menu/', '/ny/new-york/358862-andy-s-deli/menu/']","[10, 9, 8, 7, 7]"
43,allagash white,['Cafe Nadery'],"['bottled beer', 'lb cheddar cheese', 'loaded potato skins game day', 'lb muenster cheese', 'cheetos']","['/ny/new-york/299880-benvenuto-tribeca/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/477811-atwood/menu/', '/ny/new-york/360048-united-we-stand-deli/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/']","[9, 5, 5, 4, 4]"
44,almond bubble tea,"[""Manny's Gourmet""]","['black tea bubble tea', 'bubble milk tea with tapioca pearl', 'watermelon bubble tea', 'kinder candy', 'ice chai']","['/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/335043-ageha-sushi/menu/', '/ny/new-york/316262-manny-s-gourmet/menu/', '/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/', '/ny/new-york/360181-macchiato-espresso-bar/menu/']","[10, 10, 8, 8, 4]"
45,almond butter sandwich,['SALUD Soho'],"['walnut brownie', 'almond milk shake', 'jumbo cookies', 'jumbo cookies', 'large chocolate chips cookie', 'liniments']","['/ny/new-york/361048-wayside/menu/', '/ny/new-york/250047-dining-room-management-group/menu/', '/ny/new-york/315753-fluffy-s-cafe-pizzeria/menu/', '/ny/new-york/358862-andy-s-deli/menu/', '/ny/new-york/365758-blu-cafe/menu/', '/ny/new-york/262307-houston-village-farm-deli-cafe-grocery/menu/']","[9, 8, 8, 8, 8, 7]"
