name	menu_link	type	address	lon	lat	is_location_valid
Gogo Grill	/ny/new-york/362949-gogo-grill/menu/	Sandwiches	1 Bowling Green New York, NY, 10004	-74.0140946	40.7045091	true
Rex Coffee	/ny/new-york/362955-rex-coffee/menu/	Coffee & Tea, Sandwiches	864 10th Ave New York, NY, 10019	-73.9885588	40.7688283	true
David's Tea	/ny/new-york/363596-david-s-tea/menu/	Teahouses	688 6th Ave New York, NY, 10010	-73.9931655	40.7420525	true
Prime Butcher Baker	/ny/new-york/363962-prime-butcher-baker/menu/	Deli Food, Kosher, Eastern European	1572 2nd Ave New York, NY, 10028	-73.9535358215158	40.77495295	true
Felice	/ny/new-york/364180-felice/menu/	Italian, Alcohol	15 Gold St New York, NY, 10038	-74.0069387	40.7078032	true
Hibachi Heaven	/ny/new-york/365034-hibachi-heaven/menu/	Japanese	Location Varies New York, NY, 10018	0	0	false
Blu Cafe	/ny/new-york/365758-blu-cafe/menu/	Coffee & Tea, Teahouses	120 Riverside Blvd New York, NY, 10069	-73.98903815277555	40.7763446	true
Yours Wholesome Foods Deli & Grocery	/ny/new-york/365835-yours-wholesome-foods-deli-grocery/menu/	Deli Food, Sandwiches, Smoothies & Juices	159 Essex St New York, NY, 10002	-73.9870303	40.7211584	true
Pushcart Coffee	/ny/new-york/366185-pushcart-coffee/menu/	Coffee & Tea	362 2nd Ave New York, NY, 10010	-73.981522	40.736742	true
El Kiosko Deli Grocery	/ny/new-york/366778-el-kiosko-deli-grocery/menu/	Mexican, Deli Food, Sandwiches	37-18 31st Ave New York, NY, 11103	-73.9181416	40.7616722	true
Hudson Terrace	/ny/new-york/367654-hudson-terrace/menu/	Eclectic & International, Tapas, Cocktails	621 W 46th St New York, NY, 10036	-73.99757159257985	40.76403475	true
Rasa	/ny/new-york/386408-rasa/menu/	Sushi, Asian Fusion	25 W 8th St New York, NY, 10011	-73.99763948093636	40.732995349999996	true
Taszo Espresso Bar	/ny/new-york/386721-taszo-espresso-bar/menu/	Coffee & Tea	5 Edward M Morgan Pl New York, NY, 10032	-73.945255	40.8345127	true
Cafe Boca Ciega	/ny/new-york/386921-cafe-boca-ciega/menu/	Cuban, Coffee & Tea	355 Broadway New York, NY, 10013	-73.7498902	42.6471953	true
La Panineria - Sandwich Shop	/ny/new-york/388994-la-panineria-sandwich-shop/menu/	Italian, Sandwiches	1 W 8th St New York, NY, 10011	-73.9966634	40.7324992	true
